,id,summary,risk,category,variance
1389,51950,03.48.31 J0097989 *IEF099I JOB G01SCR10 WAITING FOR DATA SETS Device 0E56 signaled end of volume to host on Write Tapemark,52,3,-1.004955511
591,51152,15.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),52,8,-1.004823004
1347,51908,02.15.03 CP1E S0093003  BQBSTOPICS0 SEV=CRI ALL Topic String: BANCS/SYSMODE (Topic StringCnt < 4),51,8,-1.004676149
2640,53201,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
2663,53224,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
3048,53609,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
3052,53613,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
3903,54464,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
3940,54501,端到端:ERROR OVERSEA streamsjob healthy not good!,51,8,-1.004515248
3955,54516,"02.09.39 CP2B           IOS080I 42E1,4B,RI51MITD, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBSR.LVEQ.RP.RPTDZFSM.RI51C15D",49,6,-1.004230589
1175,51736,01.31.34 CP1E S0129913  BQBGTOPICS0 SEV=CRI ALL SubscriptionName: BANCS.GLMS.SYSMODE.SUB (Subs NAMECnt < 4),49,8,-1.004405247
1997,52558,21.37.40 S0093304  GEO114W SOME LINKS NOT ACTIVE (CP1BA),48,8,-1.00417042
588,51149,13.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),47,8,-1.003795445
2575,53136,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
2576,53137,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
2639,53200,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
2662,53223,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
3050,53611,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
3051,53612,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
3902,54463,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
3942,54503,端到端:ERROR CN streamsjob healthy not good!,47,8,-1.00369994
1190,51751,01.29.38 CP1C S0130129  +DFHDB2025I CIP1KA16 The CICS-DB2 attachment has disconnected from DB2 subsystem DP51,44,8,-1.003673558
2642,53203,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
2664,53225,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
3049,53610,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
3054,53615,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
3905,54466,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
3941,54502,端到端:ERROR OVERSEA streamsjob status not running!,44,8,-1.003672697
580,51141,09.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),42,8,-1.003317075
821,51382,15.06.11 CP1D S0177925  DSNT375I  -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER -         LUW-ID=GB030205.IC22.D5577C464A22=10999 - - THREAD-INFO=WASDB2U:11.3.2.5:WASDB2U:db2jcc_application:DYNAMIC:1289,42,8,-1.003521913
1474,52035,03.19.31 S0093003  BQCARQDEPS0 SEV=CRI MQ4A NamedQueue: PRM.CRE.PIPINQ CURRENT DEPTH: 10972 (CurrentDepth >= 5000),42,8,-1.003352364
300,50861,13.58.22 CP1E S0129913  BQCARQDEPS0 SEV=CRI MQ1A NamedQueue: QM_DISPLAY CURRENT DEPTH: 10145 (CurrentDepth >= 5000),41,8,-1.003240913
565,51126,07.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),41,8,-1.002840785
2635,53196,07.38.16 S0093383  BSOPSSIZES0 SEV=WAR CP1A Data Set: SYSBAK.P1.REXX.DB2.RPT.TEMP1 SIZE=62655 (TracksAllocated > 55000),41,8,-1.003143931
2641,53202,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
2665,53226,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
3047,53608,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
3053,53614,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
3904,54465,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
3939,54500,端到端:ERROR CN streamsjob status not running!,41,8,-1.002752515
584,51145,11.58.27 CPKA STC07670  GEO114W SOME LINKS NOT ACTIVE (CPKAA),39,8,-1.002107915
1401,51962,"03.33.02 S0093304  GEO551I HYPERSWAP DISABLED BY USER IBMSE11 AT 20181209 00:30:27, HyperSwap is disabled (CP1BA)",39,8,-1.002078435
1773,52334,07.30.36 S0117117  DNFO1033E 2018-12-09 23:30:36 BOCOU01 DNF_O_FT 31323031383132389215973 0348794255405664443969726.562  SAG returned error information with - the following parameters: -  Code    : 'Sw.Wfa.SnlServerAppFailure' -,39,8,-1.002366008
