,message,category
144,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 111
",3
145,"WRITELOG L
",5
146,"IEF196I IEF237I JES2 ALLOCATED TO SYSLOG87
",5
147,"$HASP100 SYSJOB   ON STCINRDR
",5
148,"IEF196I IEF285I   +MASTER+.SYSLOG.S0093334.D0000216.?          SYSOUT
",5
149,"AOF588I 00:00:01 : RECOVERY FOR MINRES MVSESA.SYSLOG CONTINUING - 865
",9
150,"S SLOGWR.SLOGWR
",9
151,"ICH408I USER(TWSP    ) GROUP(#STCTWS ) NAME(TWS STC             ) 118
",3
152,"-SYSJOB   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
153,"-NV390PRT ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
154,"IEF188I PROBLEM PROGRAM ATTRIBUTES ASSIGNED
",5
155,"IEF695I START SLOGWR   WITH JOBNAME SLOGWR   IS ASSIGNED TO USER SLOGWR
",5
156,"$HASP100 NV390PRT ON STCINRDR
",5
157,"$HASP373 SLOGWR   STARTED
",9
158,"-NV390PRT          NV390PRT    00   1141    .00    .00    .00    995  
",5
159,"IEF695I START SLOGWR   WITH JOBNAME SLOGWR   IS ASSIGNED TO USER SLOGWR
",5
160,"IEF188I PROBLEM PROGRAM ATTRIBUTES ASSIGNED
",5
161,"IST1394I  CPNAME = BOCHQP.CEBCT00     STATION ID = 020007100000
",0
162,"IEF695I START SLOGWR   WITH JOBNAME SLOGWR   IS ASSIGNED TO USER SLOGWR
",5
163,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=015D.
",5
164,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
165,"BMC256651I Connection Dataspace has been cleared and ready for reuse.
",5
166,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00FC.
",5
167,"IST1394I  CPNAME = BOCHQP.CXIS12      STATION ID = 02001E810012
",0
168,"IEE252I MEMBER GEOHCP00 FOUND IN SYS1.PLEXP1.ZOS203.PARMLIB
",5
169,"$HASP100 QREPREXX ON INTRDR      BOC                   FROM S0100043
",5
170,"-                                         --TIMINGS (MINS.)--          
",5
171,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
172,"IEC205I SYSUT2,SLOGWR,SLOGWR,FILESEQ=1, COMPLETE VOLUME LIST, 726
",5
173,"-SLOGWR   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
174,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=0149.
",5
175,"IEA631I  OPERATOR SYSJOB   NOW INACTIVE, SYSTEM=CP1B    , LU=
",5
176,"$CJ(100014),P
",5
177,"IST314I  END
",1
178,"$HASP100 SYSJOB   ON STCINRDR
",5
179,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
180,"$HASP100 J#BLNK2  ON INTRDR      MAINVIEW              FROM J0100028
",5
181,"-CHKCP1D           STEP020     00    132    .00    .00    .00    795  
",5
182,"IEA631I  OPERATOR SYSJOB   NOW INACTIVE, SYSTEM=CP1B    , LU=
",5
183,"AOF570I 00:00:07 : ISSUED ""MVS P SLOGWR"" FOR MVSESA MVSESA - 157
",9
184,"-                                         --TIMINGS (MINS.)--          
",5
185,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
186,"-                                         --TIMINGS (MINS.)--          
",5
187,"-CHKCP1C           STEP020     00    139    .00    .00    .00    669  
",5
188,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=007C.
",5
189,"IEF301I SLOGWR   WTR CLOSED
",5
190,"-SLOGWR   SLOGWR   IEFPROC     00   4318    .00    .00    .11  34828  
",5
191,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
192,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00AF.
",5
193,"-SYSJOB   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
194,"-                                         --TIMINGS (MINS.)--          
",5
195,"-CHKDP1C           STEP010     00    140    .00    .00    .00   1183  
",5
196,"$HASP893 VOLUME(CP1SP1)  STATUS=ACTIVE,PERCENT=36
",8
197,"$HASP893 VOLUME(CP1SP9)  STATUS=ACTIVE,PERCENT=36
",8
198,"$HASP646 36.5393 PERCENT SPOOL UTILIZATION
",5
199,"-CHKDPW2           STEP010     00    132    .00    .00    .00   1008  
",5
200,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
201,"-SLOGWR   SLOGWR   OPERWL      00   1901    .00    .00    .03  11095  
",5
202,"$HASP373 CHKQDEP1 STARTED - INIT 2    - CLASS D        - SYS CP1D
",9
203,"-SLOGWR   SLOGWR   IEFPROC     00   4187    .00    .00    .11  25356  
",5
204,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
205,"-CHKDPW1           STEP010     00    133    .00    .00    .00   1536  
",5
206,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
207,"IST081I  LINE NAME = LEE1E0  , LINE GROUP = GRP1A   , MAJNOD = CP1AXCE0
",2
208,"$HASP373 SYSJOB   STARTED
",9
209,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:10 ON WEDNESDAY, MARCH 13, 2019
",5
210,"$HASP309 INIT 2    INACTIVE ******** C=F
",9
211,"IST1394I  CPNAME = BOCHQP.CCIES01     STATION ID = 020000000000
",0
212,"$HASP100 SYSJOB   ON STCINRDR
",5
213,"-                                         --TIMINGS (MINS.)--          
",5
214,"-J#EISS2           GENER       00     36    .00    .00    .00    237  
",5
215,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00E9.
",5
216,"IEF196I IGD104I NV.SYSTEM.DA190311.TI223620.IEA405E          RETAINED,
",5
217,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21667
",5
218,"IEF196I DDNAME=SYS21669
",5
219,"IEF196I IGD104I NV.SYSTEM.DA190312.TI031215.IEA405E          RETAINED,
",5
220,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21675
",5
221,"IEF196I DDNAME=SYS21677
",5
222,"IEF196I IGD104I NV.SYSTEM.DA190312.TI043023.IEA405E          RETAINED,
",5
223,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21683
",5
224,"IEC205I SYSUT2,SLOGWR,SLOGWR,FILESEQ=1, COMPLETE VOLUME LIST, 050
",5
225,"IEF196I IGD104I NV.SYSTEM.DA190312.TI091744.IEA405E          RETAINED,
",5
226,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21689
",5
227,"IEF196I IGD104I NV.SYSTEM.DA190312.TI092920.IEA405E          RETAINED,
",5
228,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21694
",5
229,"IEF196I IGD104I NV.SYSTEM.DA190312.TI094105.IEA405E          RETAINED,
",5
230,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21699
",5
231,"IEF196I DDNAME=SYS21700
",5
232,"IEF196I IGD104I NV.SYSTEM.DA190312.TI095048.IEA405E          RETAINED,
",5
233,"IEF196I DDNAME=SYS21705
",5
234,"@SLS6894I M 05DA,210002,SL,,VTSSF,SWSRDSMG,HSHHW4
",5
235,"IEF196I DDNAME=SYS21709
",5
236,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21712
",5
237,"IEF196I DDNAME=SYS21713
",5
238,"-                                         --TIMINGS (MINS.)--          
",5
239,"-SLOGWR   ENDED.  NAME-                     TOTAL CPU TIME=   .00 
",5
240,"$HASP395 JCPSMCHK ENDED - RC=0000
",5
241,"IEF196I DDNAME=SYS21720
",5
242,"IEF196I IGD104I NV.SYSTEM.DA190312.TI102316.IEA405E          RETAINED,
",5
243,"IEF196I IGD103I SMS ALLOCATED TO DDNAME SYS21726
",5
244,"IKJ144I   UNDEFINED USERID(S) SYSJOB
",5
245,"IST314I  END
",1
246,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW00  PU GEN NOT SUPPORTED
",6
247,"IST680I  CONNECTION REQUEST DENIED - ID = CSWHW00  PU GEN NOT SUPPORTED
",6
248,"IST1394I  CPNAME = BOCHQP.CSWHW00     STATION ID = 020000000000
",0
249,"SVO5057I CURRENT DATE IS WED, MAR 13, 2019
",5
250,"+DFHIC0801  CIP1KA31 CICS time altered from 23.59.599 to 00.00.000 -
",5
251,"+DFHIC0801  CIP1KA48 CICS time altered from 24.00.000 to 00.00.000 -
",5
252,"+DFHIC0801  CIP1KT14 CICS time altered from 24.00.000 to 00.00.000 -
",5
253,"+DFHIC0801  CIP1KT24 CICS time altered from 24.00.000 to 00.00.000 -
",5
254,"+DFHIC0801  CIP1KA17 CICS time altered from 24.00.000 to 00.00.000 -
",5
255,"GEO266I ALL LINKS ACTIVE FOR GROUP (CP1EA)
",5
256,"IEF196I IEF237I JES2 ALLOCATED TO SYS21660
",5
257,"GEO268I ALL TCP/IP CONNECTIONS ARE ACTIVE (CP1EA)
",5
258,"+DFHIC0801  CIP1MM31 CICS time altered from 24.00.000 to 00.00.001 -
",5
259,"+DFHIC0801  CIP1KT43 CICS time altered from 24.00.000 to 00.00.001 -
",5
260,"+DFHIC0801  CIP1KT33 CICS time altered from 24.00.000 to 00.00.001 -
",5
261,"IEF196I IEF285I   SA390.SA390.S0092182.INTRDR.?                SYSOUT
",5
262,"S NV390PRT,I=NV.NETWORK.CP1DN.DSILOGP,O=NV.NETWORK.CP1DN.LOG(+1)
",5
263,"S SA390PRT,I=NV.SYSTEM.CP1AA.DSILOGP,O=NV.SYSTEM.CP1AA.LOG(+1)
",5
264,"IEF695I START SYSJOB   WITH JOBNAME SYSJOB   IS ASSIGNED TO USER SYSJOB
",5
265,"EQQE037I JOB ICCDMEND(        ), OPERATION(0255), IN APPLICATION 267
",5
266,"EQQE037I JOB ICCDREND(        ), OPERATION(0255), IN APPLICATION 271
",5
267,"ERB812I III: MONITOR III DATA RECORDING INTO DATA SET 'SYS1.CP1F.RMFIII.
",5
268,"-                                         --TIMINGS (MINS.)--          
",5
269,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
270,"WRITELOG L
",5
271,"IEF196I IEF285I   +MASTER+.SYSLOG.S0093464.D0000210.?          SYSOUT
",5
272,"IEE043I A SYSTEM LOG DATA SET HAS BEEN QUEUED TO SYSOUT CLASS L
",5
273,"IEE042I SYSTEM LOG DATA SET INITIALIZED
",5
274,"AOF589I 00:00:01 : RECOVERY FOR MINRES MVSESA.SYSLOG CONTINUING - 672
",9
275,"S SLOGWR.SLOGWR
",9
276,"AOF570I 00:00:01 : ISSUED ""MVS S SLOGWR.SLOGWR"" FOR MVSESA SYSLOG 120
",9
277,"$HASP100 SLOGWR   ON STCINRDR
",5
278,"IEF695I START SA390PRT WITH JOBNAME SA390PRT IS ASSIGNED TO USER
",5
279,"$HASP100 SLOGWR   ON STCINRDR
",5
280,"IEF188I PROBLEM PROGRAM ATTRIBUTES ASSIGNED
",5
281,"$HASP100 SLOGWR   ON STCINRDR
",5
282,"SE '00.00.02 J0100019 $HASP165 BACKUPDB ENDED AT N1  MAXCC=0000',LOGON,
",5
283,"$HASP395 NV390PRT ENDED - RC=0000
",5
284,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
285,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:00 ON WEDNESDAY, MARCH 13, 2019
",5
286,"IST314I  END
",1
287,"IEF188I PROBLEM PROGRAM ATTRIBUTES ASSIGNED
",5
288,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:01 ON WEDNESDAY, MARCH 13, 2019
",5
289,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
290,"BMC256651I Connection Dataspace has been cleared and ready for reuse.
",5
291,"AOF570I 00:00:03 : ISSUED ""MVS P SLOGWR"" FOR MVSESA MVSESA - 718
",9
292,"IST314I  END
",1
293,"$HASP100 SYSJOB   ON STCINRDR
",5
294,"-                                         --TIMINGS (MINS.)--          
",5
295,"-J#BANC2           GENER       00     36    .00    .00    .00    519  
",5
296,"IEC705I TAPE ON 0923,K28641,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1C.Y19
",5
297,"-                                         --TIMINGS (MINS.)--          
",5
298,"IEC705I TAPE ON 0812,K28657,SL,COMP,SLOGWR,SLOGWR,BACKUPP1.SLOG.CP1F.Y19
",5
299,"IEC205I SYSUT2,SLOGWR,SLOGWR,FILESEQ=1, COMPLETE VOLUME LIST, 699
",5
300,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
301,"IST1394I  CPNAME = BOCHQP.CZBND02     STATION ID = 020005D00000
",0
302,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00AF.
",5
303,"$HASP373 SYSJOB   STARTED
",9
304,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
305,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:05 ON WEDNESDAY, MARCH 13, 2019
",5
306,"$HASP395 CHKCP1D  ENDED - RC=0000
",5
307,"$HASP373 J#BLNK2  STARTED - INIT 3    - CLASS A        - SYS CP1A
",9
308,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:05 ON WEDNESDAY, MARCH 13, 2019
",5
309,"-CHKCP1E           STEP010     00    136    .00    .00    .00   1067  
",5
310,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
311,"-NV390PRT          NV390PRT    00  22870    .00    .00    .09  17706  
",5
312,"$HASP395 CHKCP1C  ENDED - RC=0000
",5
313,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00B0.
",5
314,"IEF695I START SYSJOB   WITH JOBNAME SYSJOB   IS ASSIGNED TO USER SYSJOB
",5
315,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
316,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
317,"IRR010I  USERID SYSJOB   IS ASSIGNED TO THIS JOB.
",5
318,"IEA989I SLIP TRAP ID=X33E MATCHED.  JOBNAME=*UNAVAIL, ASID=00E2.
",5
319,"-SLOGWR   SLOGWR   IEFPROC     00   4809    .00    .00    .11  44223  
",5
320,"$HASP395 CHKDP1C  ENDED - RC=0000
",5
321,"$HASP893 VOLUME(CP1SP3)  STATUS=ACTIVE,PERCENT=36
",8
322,"$HASP893 VOLUME(CP1SPB)  STATUS=ACTIVE,PERCENT=36
",8
323,"ICH70001I SYSJOB   LAST ACCESS AT 00:00:08 ON WEDNESDAY, MARCH 13, 2019
",5
324,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
325,"IEC205I SYSUT2,SLOGWR,SLOGWR,FILESEQ=1, COMPLETE VOLUME LIST, 195
",5
326,"$HASP395 SLOGWR   ENDED - RC=0000
",5
327,"$HASP373 CHKDP2C  STARTED - INIT 4    - CLASS D        - SYS CP1D
",9
328,"-JOBNAME  STEPNAME PROCSTEP    RC   EXCP    CPU    SRB  CLOCK   SERV 
",5
329,"-                                         --TIMINGS (MINS.)--          
",5
330,"$HASP395 CHKDPW1  ENDED - RC=0000
",5
