,id,summary,risk
1773,52334,07.30.36 S0117117  DNFO1033E 2018-12-09 23:30:36 BOCOU01 DNF_O_FT 31323031383132389215973 0348794255405664443969726.562  SAG returned error information with - the following parameters: -  Code    : 'Sw.Wfa.SnlServerAppFailure' -,69.66383287
3787,54348,"E2E:2018-12-25 20:07:17,927 ERROR - [data.proc.baseline_AGGRE_18_30] thread 'data.proc.baseline_AGGRE_18_30' error, error occurs when sql running.",68.51072353
2583,53144,21.14.07 J0108548  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operations at the source table should be replicated (value of - CAPTURE_LOAD column in the IBMQREP_SUBS control table).,67.39516624
3780,54341,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] thread 'data.proc.main' error, error occurs when sql running.",66.31535603
1724,52285,12.54.31 S0117112  DNFO1033E 2018-12-09 04:54:31 BOCOU01 DNF_O_FT 31323031383132389215973 0348794255405664443969726.562  SAG returned error information with - the following parameters: -  Code    : 'Sw.Wfa.SnlServerAppFailure' -,65.26960178
1741,52302,"E2E:2018-12-09 22:06:08,896 ERROR [com.e2e.dc.service.impl.GetLogDataImpl] - Got SQL exception : java.sql.SQLException: ORA-12592: TNS:bad packet",64.25631735
1200,51761,"01.24.09 CP1C S0129908  BCTAKLIFES1 SEV=CRI CIP1KT11 TSBS(77254) LifeTime: 18607 (ElapsedTime > 18000)        ,CICS交易响应时间>3分钟",63.27401363
4086,54647,四 12月 27 19:55:01 CST 2018 Netcool主机监控出现异常,62.32129118
4098,54659,22.34.29 S0093011  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = EH460002 -           CONNECTION ID  = BATCH -           PLAN NAME = DBCI1600 -           AUTHID = TWSP -           END U,61.39683359
1752,52313,"03.58.39 J0158373  IEC205I SYS00003,ONLJRIM,DSNBPROC,FILESEQ=21, COMPLETE VOLUME LIST, DSN=BACKUPP1.ONL.TSIMGF.D181209.H19,VOLS=S29186,TOTALBLOCKS=35 - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY E",60.49940144
884,51445,"19.41.28 CP3C S0189605  DNFF4079I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",59.6278267
2723,53284,"12.34.36 S0092568  DSNB355I  -DP11 DSNB5SCO GROUP BUFFER POOL GBP28 RECOVERY LRSN VALUES MIGHT CAUSE A DELAY IN GRECP RECOVERY. PAGE LEVEL   = 00D5690EFD9D01000000 - PAGE LEVEL IN LOCAL TIMESTAMP   = 12:26:36 DEC 21, 2018 - MEMBER",58.78100773
1174,51735,01.31.32 CP1E S0129913  BQBDTOPICS0 SEV=CRI ALL Subs Name: BANCS/DNF Subs Cnt: 6 (Subs NAMECnt < 8),57.95790455
949,51510,"00.42.13 CP1F S0092089  ASN0574E  ""Q Capture"" : ""QRPHY1"" : ""WorkerThread"" : The WebSphere MQ queue manager ""QPY1"" is not available or it was not started. - The program will terminate.",57.15753467
195,50756,"13.36.39 CP3B          *IXC585E STRUCTURE DSNDP0Y_GBP0 IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D53F67B9 37487BD4, *   SPACE USAGE     IN-USE       TOTAL    %     CHANGED    % *    ENTRIES:       160620     14210",56.37896911
34,50595,03.10.18 CP2D S0044205  BSDB2QBSZS0 SEV=CRI CP2C Data SetName: IMGCP.L.B.BN.TSINVI.CA181128.H14 SIZE=70665375 (Alloc Size(in KB) > 70000000),55.62132881
