,0,summary
50666,2.415645163,05.04.12 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 73.2% INUSE SYSJOB
50667,2.597567399,05.04.12 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.7% INUSE SYSJOB
50668,1.320923482,05.04.11 CP1F J0049258  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
50669,1.599048746,05.04.11 CP1F J0049258  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 23 DATASETS(MAX 32) SYSJOB
50670,1.192309566,05.04.11 CP1F J0049258  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
50671,4.57644448,"05.04.12 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 77.7% INUSE SYSJOB , MAJNOD = CP1BXCE0"
50672,2.39745521,05.04.12 CP1C J0049198  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 72.2% INUSE SYSJOB
50673,14.10635283,07.50.52 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGTSO CURRENT: 82.10 (Enabled%Full >= 80) Device 0DE6 volume KB0263 AMDD modified 20561 of 20618 blocks written
50674,28.46357879,"07.40.21 CP3D S0059824 *DSNB325A  -DP2Y DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP28 -  COMPLETE VOLUME LIST, - DSN=BACKUPP3.IE.TSBGDF.P00024.CA181129.H233957,VOLS=G61577, - TOTALBLOCKS=1"
50675,21.07284668,"07.40.20 CP3B          *IXC585E STRUCTURE DSNDP0Y_GBP28 IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D53F68F3 95C3B8D4, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       TOT"
50676,9.987599354,07.40.11 CP3D S0059824 *DSNB319A  -DP2Y DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP28
50677,43.37942375,07.08.12 CP1E S0049990  DNFO1005E 2018-11-29 23:08:12 BOCOU01 DNF_O_FT 31323031383131398897035 0692397914826869964599609.375  SAG reported an error with the - following parameters: -  Severity    : 'Transient' -  Code        : 'Sw
50678,6.682123214,08.06.27 CP2D S0044205  BSOEXTPDSS0 SEV=WAR CP2C Data Set: SYS0.MLIB.PARMLIB EXTENTS = 16 (Exts > 12)
50679,45.27757814,10.34.32 CP1A S0129909  BZZFSUSGES0 SEV=WAR CP1E ZFS Name: OMVS.SWIFTIOS.ZFS USEAGE: 80.03
50680,4.448557787,10.18.59 CP1D J0058625 *IEF099I JOB G01S583B WAITING FOR DATA SETS
50681,6.905078444,12.48.06 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 80.10 (Enabled%Full >= 80)
50682,19.76468611,12.27.10 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D54EA4273094 = 8949 -           P
50683,7.673143017,13.47.32 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 80.10 (Enabled%Full >= 80)
50684,7.438707049,14.46.59 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 80.10 (Enabled%Full >= 80)
50685,7.788655886,15.46.26 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 80.70 (Enabled%Full >= 80)
50686,7.131117983,16.16.09 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 81.20 (Enabled%Full >= 80)
50687,7.983968022,17.45.19 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 81.90 (Enabled%Full >= 80)
50688,7.346286629,18.44.46 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 82.20 (Enabled%Full >= 80)
50689,4.648400031,18.19.48 CP1F J0111941 *IEF099I JOB G01S583B WAITING FOR DATA SETS
50690,7.155775475,19.44.12 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 82.50 (Enabled%Full >= 80)
50691,7.922836663,20.43.39 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 82.50 (Enabled%Full >= 80)
50692,7.644798185,21.43.05 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGWBIDB CURRENT: 83.10 (Enabled%Full >= 80)
50693,1.317979136,21.15.31 CP1F J0116416  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB
50694,1.434456249,21.15.31 CP1F J0116416  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 21 DATASETS(MAX 32) SYSJOB
50695,1.276911906,21.15.31 CP1F J0116416  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB
50696,2.172231451,21.14.31 CP1F J0116416  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 70.6% INUSE SYSJOB
50697,2.408616457,21.14.31 CP1F J0116416  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 72.7% INUSE SYSJOB
50698,2.436979584,21.14.30 CP1F J0116416  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 78.0% INUSE SYSJOB
50699,2.418468145,21.14.30 CP1F J0116416  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 73.5% INUSE SYSJOB
50700,2.473386889,21.14.31 CP1F J0116416  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 79.0% INUSE SYSJOB
50701,3.635760245,21.11.01 CP1E J0116478 *IEF099I JOB NA100009 WAITING FOR DATA SETS
50702,1.222236892,21.04.10 CP1D J0116327  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB
50703,1.245406117,21.04.10 CP1D J0116327  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB
50704,1.201307048,21.04.10 CP1D J0116327  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB
50705,1.255606888,21.04.10 CP1D J0116327  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB
