id,summary
170,21.14.53 CP1E J0188180  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYZ HAS 20 DATASETS(MAX 32) SYSJOB
171,21.14.53 CP1E J0188180  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 20 DATASETS(MAX 32) SYSJOB
172,21.04.10 CP1F J0188103  +DBA:EISS BIG SEGMENT TS FOUND!CGEN008P HAS 25 DATASETS(MAX 32) SYSJOB
173,21.04.10 CP1F J0188103  +DBA:EISS BIG SEGMENT TS FOUND!CGEN140P HAS 23 DATASETS(MAX 32) SYSJOB
174,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN140P HAS 23 DATASETS(MAX 32) SYSJOB
176,21.11.11 CP1E J0188244 *IEF099I JOB NA100009 WAITING FOR DATA SETS
177,21.14.15 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 713 72.7% INUSE SYSJOB
178,21.14.10 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 653 73.1% INUSE SYSJOB
179,21.14.13 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 683 73.2% INUSE SYSJOB
180,21.14.12 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 673 73.3% INUSE SYSJOB
181,21.14.11 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 668 72.9% INUSE SYSJOB
182,03  21.14.08 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 81.9% INUSE SYSJOB
183,21.14.14 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 703 73.0% INUSE SYSJOB
184,21.14.09 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 213 71.8% INUSE SYSJOB
185,09  21.14.10 CP1E J0188180  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 658 72.9% INUSE SYSJOB
186,00.04.57 CP1D J0198918 *IEF099I JOB G01S663B WAITING FOR DATA SETS
189,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 21 DATASETS(MAX 32) SYSJOB
190,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 20 DATASETS(MAX 32) SYSJOB
192,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 21 DATASETS(MAX 32) SYSJOB
193,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN008P HAS 25 DATASETS(MAX 32) SYSJOB
194,00.59.04 CP1C S0137395  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL 05-           LUWID = BOCHQP.DP51APPL.D3F589CB1F4B = 58770 -
195,21.04.10 CP1D J0157007  +DBA:EISS BIG SEGMENT TS FOUND!CGEN138P HAS 21 DATASETS(MAX 32) SYSJOB
196,"21.06.21 CP1E S0044533 *5039 @SLS6613E 6 REQUESTS ARE STALLED AWAITING * OFFLINE RTDS, REPLY R TO RETRY"
197,01.39.07 CP1E S0009403  DSNB355I  -DP3C DSNB5SCO GROUP BUFFER POOL GBP2 RECOVERY LRSN VALUES MIGHT CAUSE A DELAY IN GRECP RECOVERY. PAGE LEVEL   = 00D3F596453D9A000000 -                    MEMBER LEVEL = 00D3F59625C5D8A29800 - PAG
198,01.41.11 CP1C J0005313 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS
199,01.05.03 CP1E J0004667 *IEF099I JOB SMFMRGCI WAITING FOR DATA SETS
